lam_draft,K,ffn_active,ka_inter_dense,ka_inter_subnet,abs_d_inter,ka_intra_dense,ka_intra_subnet,abs_d_intra,label_agree,ms_per_fwd_sub,ms_per_fwd_dense,speedup_inter,speedup_intra,response_len,pss_mode,n_items,n_templates
2.0,2,0.034027099609375,0.18624380862247936,0.18840571166230546,0.0021619030398261074,-0.06319023279218183,-0.08304782126140031,0.01985758846921848,0.3,24.19049965834953,14.487042853579624,0.29943661888313483,0.5988732377662697,10,edit_distance,16,8
2.0,3,0.034027099609375,0.18624380862247936,0.15690983700706762,0.029333971615411736,-0.040957179391899246,-0.01189199983184075,0.029065179560058496,0.30078125,24.19049965834953,14.487042853579624,0.19962441258875654,0.5988732377662697,10,edit_distance,16,8
2.0,4,0.034027099609375,0.18624380862247936,0.16076555517182745,0.02547825345065191,0.0042471261113316006,-0.024680379342059355,0.028927505453390956,0.3109375,24.19049965834953,14.487042853579624,0.14971830944156742,0.5988732377662697,10,edit_distance,16,8
2.0,5,0.034027099609375,0.18624380862247936,0.1335576998974365,0.05268610872504287,-0.008528144077165623,-0.02211255016070446,0.013584406083538836,0.30625,24.19049965834953,14.487042853579624,0.11977464755325393,0.5988732377662697,10,edit_distance,16,8
2.0,6,0.034027099609375,0.18624380862247936,0.1550633208289901,0.031180487793489253,0.0052791856207101695,-0.0006700019031178339,0.005949187523828003,0.31640625,24.19049965834953,14.487042853579624,0.09981220629437827,0.5988732377662697,10,edit_distance,16,8
3.0,2,0.03058624267578125,0.18624380862247936,0.18931541999154322,0.0030716113690638647,-0.06319023279218183,-0.06447593113952066,0.0012856983473388262,0.27578125,23.88708580438106,14.487042853579624,0.3032400639454018,0.6064801278908036,10,edit_distance,16,8
3.0,3,0.03058624267578125,0.18624380862247936,0.18269505012279463,0.0035487584996847232,-0.040957179391899246,-0.0013984452266755376,0.03955873416522371,0.29140625,23.88708580438106,14.487042853579624,0.2021600426302679,0.6064801278908036,10,edit_distance,16,8
3.0,4,0.03058624267578125,0.18624380862247936,0.1729536223652537,0.013290186257225667,0.0042471261113316006,-0.01615379856123167,0.02040092467256327,0.29375,23.88708580438106,14.487042853579624,0.1516200319727009,0.6064801278908036,10,edit_distance,16,8
3.0,5,0.03058624267578125,0.18624380862247936,0.16066560996879287,0.02557819865368649,-0.008528144077165623,-0.01365404758342037,0.0051259035062547476,0.2890625,23.88708580438106,14.487042853579624,0.12129602557816073,0.6064801278908036,10,edit_distance,16,8
3.0,6,0.03058624267578125,0.18624380862247936,0.13863026751470964,0.04761354110776972,0.0052791856207101695,0.0027120836016470973,0.0025671020190630722,0.2921875,23.88708580438106,14.487042853579624,0.10108002131513395,0.6064801278908036,10,edit_distance,16,8
