mode,lam_target,gamma,baseline_tok_per_s,lam_draft,ffn_active,alpha,tv_distance,expected_toks_per_call,tok_per_s,tok_per_s_std,accept_rate,param_ratio,speedup
sweep,0.0,4,6.337638454188814,0.0253,1.0,0.9870071411132812,0.01299285888671875,4.91358024691358,20.729420898045905,0.40592828671003567,0.9783950617283951,0.9997682557380214,3.270843082622511
sweep,0.0,4,6.337638454188814,0.0272,1.0,0.9862251281738281,0.013774871826171875,4.85182620737407,19.955359808354,0.9490155906276476,0.9629565518435174,0.9997682557380214,3.148705934016267
sweep,0.0,4,6.337638454188814,0.0291,1.0,0.9854704737663269,0.014529526233673096,4.825074942690883,20.094863641529138,0.2421229399873973,0.9562687356727207,0.9997682557380214,3.1707178922848764
sweep,0.0,4,6.337638454188814,0.0312,1.0,0.9846674799919128,0.015332520008087158,4.850800117155257,20.28259894156363,0.5123061730876656,0.9627000292888143,0.9997682557380214,3.200340172159553
sweep,0.0,4,6.337638454188814,0.0334,1.0,0.9838590621948242,0.01614093780517578,4.73266824902339,19.760257145614087,0.3338222325985478,0.9331670622558473,0.9997682557380214,3.1179211765470303
sweep,0.0,4,6.337638454188814,0.0358,1.0,0.98301762342453,0.01698237657546997,4.768733153638814,19.96952392204454,0.41166203423118325,0.9421832884097036,0.9997682557380214,3.1509408538200594
sweep,0.0,4,6.337638454188814,0.0384,1.0,0.9821528196334839,0.017847180366516113,4.77828932955013,19.9411160046697,0.2945282269725461,0.9445723323875326,0.9997682557380214,3.1464584401291886
sweep,0.0,4,6.337638454188814,0.0411,1.0,0.9813079237937927,0.018692076206207275,4.706422018348624,19.42552338286533,0.20868855367826458,0.926605504587156,0.9997682557380214,3.0651043796962223
sweep,0.0,4,6.337638454188814,0.0441,1.0,0.9804317355155945,0.019568264484405518,4.8157832821384225,20.127647609842366,0.6373762530769093,0.9539458205346056,0.9997682557380214,3.175890792025088
sweep,0.0,4,6.337638454188814,0.0472,1.0,0.9795938730239868,0.020406126976013184,4.74350050985565,19.931033874271648,0.34413701044928224,0.9358751274639125,0.9997682557380214,3.1448676061819816
sweep,0.0,4,6.337638454188814,0.0506,1.0,0.9787523150444031,0.021247684955596924,4.699185658851178,19.636658515804818,0.5789851270461113,0.9247964147127945,0.9997682557380214,3.0984188602343066
sweep,0.0,4,6.337638454188814,0.0542,1.0,0.9779477119445801,0.022052288055419922,4.923318752444966,20.60577457145381,0.2783337934217256,0.9808296881112416,0.9997682557380214,3.251333240354628
sweep,0.0,4,6.337638454188814,0.0581,1.0,0.9771725535392761,0.022827446460723877,4.837516222421883,20.079989333148816,0.23345675627690832,0.9593790556054707,0.9997682557380214,3.168370912650768
